DimDateId,PersianInt,PersianStr,persianYear,persianMonth,persianMonthName,persianDay,PersianDayName,PersianDayOfWeek,persianDayOfMonth,persianWeekOfYear,persianSeasonOfYear,persianSeasonName,PersianMonthDay,PersianFullName,GregorianYearInt,GregorianStr,GregorianStrDash,GregorianMonth,GregorianMonthName,GregorianDayOfMonth,GregorianMonthDay,GregorianYearMonth,GregorianDayOfWeekName,HalfOFYearName,HalfOFYear,IsHoliday,DecadeName,Decade,HalfMoonName
1,13930101,1393/01/01,1393,1,فروردین,1,جمعه,7,1,1,1,سه ماهه اول,1,جمعه 1 فروردین 1393,201403,2014-03-21 00:00:00.000,2014-03-21,3,March,21,321,201403,Friday,نيمسال اول,1,True,دهه اول,1,نیمه اول ماه
2,13930102,1393/01/02,1393,1,فروردین,2,شنبه,1,2,2,1,سه ماهه اول,1,شنبه 2 فروردین 1393,201403,2014-03-22 00:00:00.000,2014-03-22,3,March,22,322,201403,Saturday,نيمسال اول,1,NULL,دهه اول,2,نیمه اول ماه
3,13930103,1393/01/03,1393,1,فروردین,3,یکشنبه,2,3,2,1,سه ماهه اول,1,یکشنبه 3 فروردین 1393,201403,2014-03-23 00:00:00.000,2014-03-23,3,March,23,323,201403,Sunday,نيمسال اول,1,NULL,دهه اول,3,نیمه اول ماه
4,13930104,1393/01/04,1393,1,فروردین,4,دوشنبه,3,4,2,1,سه ماهه اول,1,دوشنبه 4 فروردین 1393,201403,2014-03-24 00:00:00.000,2014-03-24,3,March,24,324,201403,Monday,نيمسال اول,1,NULL,دهه اول,4,نیمه اول ماه
5,13930105,1393/01/05,1393,1,فروردین,5,سه شنبه,4,5,2,1,سه ماهه اول,1,سه شنبه 5 فروردین 1393,201403,2014-03-25 00:00:00.000,2014-03-25,3,March,25,325,201403,Tuesday,نيمسال اول,1,NULL,دهه اول,5,نیمه اول ماه
6,13930106,1393/01/06,1393,1,فروردین,6,چهارشنبه,5,6,2,1,سه ماهه اول,1,چهارشنبه 6 فروردین 1393,201403,2014-03-26 00:00:00.000,2014-03-26,3,March,26,326,201403,Wednesday,نيمسال اول,1,NULL,دهه اول,6,نیمه اول ماه
7,13930107,1393/01/07,1393,1,فروردین,7,پنج شنبه,6,7,2,1,سه ماهه اول,1,پنج شنبه 7 فروردین 1393,201403,2014-03-27 00:00:00.000,2014-03-27,3,March,27,327,201403,Thursday,نيمسال اول,1,NULL,دهه اول,7,نیمه اول ماه
8,13930108,1393/01/08,1393,1,فروردین,8,جمعه,7,8,2,1,سه ماهه اول,1,جمعه 8 فروردین 1393,201403,2014-03-28 00:00:00.000,2014-03-28,3,March,28,328,201403,Friday,نيمسال اول,1,True,دهه اول,8,نیمه اول ماه
9,13930109,1393/01/09,1393,1,فروردین,9,شنبه,1,9,3,1,سه ماهه اول,1,شنبه 9 فروردین 1393,201403,2014-03-29 00:00:00.000,2014-03-29,3,March,29,329,201403,Saturday,نيمسال اول,1,NULL,دهه اول,9,نیمه اول ماه
10,13930110,1393/01/10,1393,1,فروردین,10,یکشنبه,2,10,3,1,سه ماهه اول,1,یکشنبه 10 فروردین 1393,201403,2014-03-30 00:00:00.000,2014-03-30,3,March,30,330,201403,Sunday,نيمسال اول,1,NULL,دهه اول,10,نیمه اول ماه
11,13930111,1393/01/11,1393,1,فروردین,11,دوشنبه,3,11,3,1,سه ماهه اول,1,دوشنبه 11 فروردین 1393,201403,2014-03-31 00:00:00.000,2014-03-31,3,March,31,331,201403,Monday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
12,13930112,1393/01/12,1393,1,فروردین,12,سه شنبه,4,12,3,1,سه ماهه اول,1,سه شنبه 12 فروردین 1393,201404,2014-04-01 00:00:00.000,2014-04-01,4,April,1,401,201404,Tuesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
13,13930113,1393/01/13,1393,1,فروردین,13,چهارشنبه,5,13,3,1,سه ماهه اول,1,چهارشنبه 13 فروردین 1393,201404,2014-04-02 00:00:00.000,2014-04-02,4,April,2,402,201404,Wednesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
14,13930114,1393/01/14,1393,1,فروردین,14,پنج شنبه,6,14,3,1,سه ماهه اول,1,پنج شنبه 14 فروردین 1393,201404,2014-04-03 00:00:00.000,2014-04-03,4,April,3,403,201404,Thursday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
15,13930115,1393/01/15,1393,1,فروردین,15,جمعه,7,15,3,1,سه ماهه اول,1,جمعه 15 فروردین 1393,201404,2014-04-04 00:00:00.000,2014-04-04,4,April,4,404,201404,Friday,نيمسال اول,1,True,دهه دوم,NULL,نیمه اول ماه
16,13930116,1393/01/16,1393,1,فروردین,16,شنبه,1,16,4,1,سه ماهه اول,1,شنبه 16 فروردین 1393,201404,2014-04-05 00:00:00.000,2014-04-05,4,April,5,405,201404,Saturday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
17,13930117,1393/01/17,1393,1,فروردین,17,یکشنبه,2,17,4,1,سه ماهه اول,1,یکشنبه 17 فروردین 1393,201404,2014-04-06 00:00:00.000,2014-04-06,4,April,6,406,201404,Sunday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
18,13930118,1393/01/18,1393,1,فروردین,18,دوشنبه,3,18,4,1,سه ماهه اول,1,دوشنبه 18 فروردین 1393,201404,2014-04-07 00:00:00.000,2014-04-07,4,April,7,407,201404,Monday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
19,13930119,1393/01/19,1393,1,فروردین,19,سه شنبه,4,19,4,1,سه ماهه اول,1,سه شنبه 19 فروردین 1393,201404,2014-04-08 00:00:00.000,2014-04-08,4,April,8,408,201404,Tuesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
20,13930120,1393/01/20,1393,1,فروردین,20,چهارشنبه,5,20,4,1,سه ماهه اول,1,چهارشنبه 20 فروردین 1393,201404,2014-04-09 00:00:00.000,2014-04-09,4,April,9,409,201404,Wednesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
21,13930121,1393/01/21,1393,1,فروردین,21,پنج شنبه,6,21,4,1,سه ماهه اول,1,پنج شنبه 21 فروردین 1393,201404,2014-04-10 00:00:00.000,2014-04-10,4,April,10,410,201404,Thursday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
22,13930122,1393/01/22,1393,1,فروردین,22,جمعه,7,22,4,1,سه ماهه اول,1,جمعه 22 فروردین 1393,201404,2014-04-11 00:00:00.000,2014-04-11,4,April,11,411,201404,Friday,نيمسال اول,1,True,دهه سوم,NULL,نیمه دوم ماه
23,13930123,1393/01/23,1393,1,فروردین,23,شنبه,1,23,5,1,سه ماهه اول,1,شنبه 23 فروردین 1393,201404,2014-04-12 00:00:00.000,2014-04-12,4,April,12,412,201404,Saturday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
24,13930124,1393/01/24,1393,1,فروردین,24,یکشنبه,2,24,5,1,سه ماهه اول,1,یکشنبه 24 فروردین 1393,201404,2014-04-13 00:00:00.000,2014-04-13,4,April,13,413,201404,Sunday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
25,13930125,1393/01/25,1393,1,فروردین,25,دوشنبه,3,25,5,1,سه ماهه اول,1,دوشنبه 25 فروردین 1393,201404,2014-04-14 00:00:00.000,2014-04-14,4,April,14,414,201404,Monday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
26,13930126,1393/01/26,1393,1,فروردین,26,سه شنبه,4,26,5,1,سه ماهه اول,1,سه شنبه 26 فروردین 1393,201404,2014-04-15 00:00:00.000,2014-04-15,4,April,15,415,201404,Tuesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
27,13930127,1393/01/27,1393,1,فروردین,27,چهارشنبه,5,27,5,1,سه ماهه اول,1,چهارشنبه 27 فروردین 1393,201404,2014-04-16 00:00:00.000,2014-04-16,4,April,16,416,201404,Wednesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
28,13930128,1393/01/28,1393,1,فروردین,28,پنج شنبه,6,28,5,1,سه ماهه اول,1,پنج شنبه 28 فروردین 1393,201404,2014-04-17 00:00:00.000,2014-04-17,4,April,17,417,201404,Thursday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
29,13930129,1393/01/29,1393,1,فروردین,29,جمعه,7,29,5,1,سه ماهه اول,1,جمعه 29 فروردین 1393,201404,2014-04-18 00:00:00.000,2014-04-18,4,April,18,418,201404,Friday,نيمسال اول,1,True,دهه سوم,NULL,نیمه دوم ماه
30,13930130,1393/01/30,1393,1,فروردین,30,شنبه,1,30,6,1,سه ماهه اول,1,شنبه 30 فروردین 1393,201404,2014-04-19 00:00:00.000,2014-04-19,4,April,19,419,201404,Saturday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
31,13930131,1393/01/31,1393,1,فروردین,31,یکشنبه,2,31,6,1,سه ماهه اول,1,یکشنبه 31 فروردین 1393,201404,2014-04-20 00:00:00.000,2014-04-20,4,April,20,420,201404,Sunday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
32,13930201,1393/02/01,1393,2,ارديبهشت,32,دوشنبه,3,1,6,1,سه ماهه اول,2,دوشنبه 1 اردیبهشت 1393,201404,2014-04-21 00:00:00.000,2014-04-21,4,April,21,421,201404,Monday,نيمسال اول,1,NULL,دهه اول,11,نیمه اول ماه
