User_ID,Case_Start_Date,Activity_Start_Date,Browser,Operating_System,Device,Country,Visited_Page,Time_on_Page
U_0,12/15/2021 16:14:00,12/15/2021 16:14:00,B_0,OS_0,D_0,Iran,Page_0,1
U_1,12/27/2021 15:14:00,12/27/2021 15:14:00,B_1,OS_0,D_1,Iran,Page_0,105
U_2,12/21/2021 13:54:00,12/21/2021 14:09:27,B_2,OS_1,D_2,Iran,Page_1,213
U_2,12/21/2021 13:54:00,12/21/2021 14:13:00,B_2,OS_1,D_2,Iran,Page_2,363
U_3,12/6/2021 10:47:00,12/6/2021 11:17:58,B_1,OS_1,D_2,Iran,Page_3,34
U_3,12/6/2021 10:47:00,12/6/2021 11:18:32,B_1,OS_1,D_2,Iran,Page_4,320
U_4,12/11/2021 12:34:00,12/11/2021 12:53:36,B_3,OS_1,D_2,Iran,Page_5,13
U_5,12/14/2021 15:28:00,12/14/2021 15:28:00,B_4,OS_0,D_0,Iran,Page_6,152
U_6,12/28/2021 11:10:00,12/28/2021 11:10:00,B_2,OS_1,D_2,Iran,Page_7,1544
U_6,12/28/2021 11:10:00,12/28/2021 11:35:56,B_2,OS_1,D_2,Iran,Page_8,5
U_6,12/28/2021 11:10:00,12/28/2021 11:36:01,B_2,OS_1,D_2,Iran,Page_0,18
U_7,12/21/2021 16:55:00,12/21/2021 16:55:42,B_4,OS_0,D_0,Iran,Page_0,8
U_7,12/21/2021 16:55:00,12/21/2021 16:56:22,B_4,OS_0,D_0,Iran,Page_9,26
U_8,12/26/2021 12:17:00,12/26/2021 12:17:00,B_1,OS_1,D_2,Iran,Page_0,75
U_8,12/26/2021 12:17:00,12/26/2021 12:19:19,B_1,OS_1,D_2,Iran,Page_10,627
U_8,12/26/2021 12:17:00,12/26/2021 12:29:46,B_1,OS_1,D_2,Iran,Page_11,462
U_8,12/26/2021 12:17:00,12/26/2021 12:37:28,B_1,OS_1,D_2,Iran,Page_2,2639
U_9,12/12/2021 14:43:00,12/12/2021 14:43:00,B_1,OS_1,D_2,Iran,Page_0,59
U_10,12/22/2021 22:51:00,12/22/2021 22:51:00,B_1,OS_1,D_2,Iran,Page_0,21
U_10,12/22/2021 22:51:00,12/22/2021 22:52:07,B_1,OS_1,D_2,Iran,Page_12,7
U_10,12/22/2021 22:51:00,12/22/2021 22:52:14,B_1,OS_1,D_2,Iran,Page_0,139
U_11,12/17/2021 22:42:00,12/17/2021 22:42:00,B_3,OS_1,D_2,Iran,Page_13,133
U_11,12/17/2021 22:42:00,12/17/2021 23:21:00,B_3,OS_1,D_2,Iran,Page_14,571
U_11,12/17/2021 22:42:00,12/17/2021 23:39:02,B_3,OS_1,D_2,Iran,Page_15,11
U_11,12/17/2021 22:42:00,12/17/2021 23:39:13,B_3,OS_1,D_2,Iran,Page_16,68
U_11,12/17/2021 22:42:00,12/17/2021 23:40:21,B_3,OS_1,D_2,Iran,Page_14,20
U_12,12/9/2021 23:50:00,12/9/2021 23:50:00,B_1,OS_1,D_2,Iran,Page_0,21
U_13,12/10/2021 13:49:00,12/10/2021 13:49:02,B_4,OS_0,D_0,Iran,Page_17,668
