Case_ID,Activity,Resource,ResourceGroup,Start_Timestamp,Complete_Timestamp,Requester,Part,Project,IsForce,RequestQuantity
OR-E000002,ارسال درخواست,Employee1704,داخلی,3/30/2019 10:26,3/30/2019 10:26,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,بررسی سفارش توسط انبار,Employee4412,داخلی,3/30/2019 10:26,3/31/2019 12:15,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 12:15,4/1/2019 14:49,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,تأیید معاون درخواست کننده  ,Employee1700,داخلی,4/1/2019 14:49,4/3/2019 8:44,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/3/2019 8:44,4/3/2019 10:46,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,تأیید قائم مقام مدیر عامل  ,Employee824,داخلی,4/3/2019 10:46,4/3/2019 11:51,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/3/2019 11:51,4/3/2019 13:25,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,توزیع سفارش داخلی,Employee2484,داخلی,4/3/2019 13:25,4/7/2019 19:33,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 19:33,4/8/2019 14:51,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000002,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5416,داخلی,4/8/2019 14:51,4/16/2019 16:56,Department-20200172,Part-10026,Project-100200198,0,6
OR-E000003,ارسال درخواست,Employee5444,داخلی,3/30/2019 14:02,3/30/2019 14:03,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,تایید سرپرست یا مدیر,Employee404,داخلی,3/30/2019 14:03,3/31/2019 14:55,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,بررسی سفارش توسط انبار,Employee4412,داخلی,3/31/2019 14:55,4/1/2019 13:41,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,بررسی مدیر انبار,Employee816,داخلی,4/1/2019 13:41,4/1/2019 14:53,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:53,4/6/2019 8:21,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 13:31,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 13:31,4/6/2019 15:17,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:17,4/6/2019 16:48,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 20:41,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 20:41,4/8/2019 12:49,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000003,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5416,داخلی,4/8/2019 12:49,5/8/2019 11:10,Department-20200144,Part-9912,Project-100200140,1,560
OR-E000004,ارسال درخواست,Employee4720,خارجی,3/30/2019 15:10,3/30/2019 15:11,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,تایید سرپرست یا مدیر,Employee5632,خارجی,3/30/2019 15:11,3/31/2019 9:11,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,بررسی سفارش توسط انبار,Employee4412,خارجی,3/31/2019 9:11,4/1/2019 12:41,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,بررسی مدیر انبار,Employee816,خارجی,4/1/2019 12:41,4/1/2019 14:39,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,تأیید معاون درخواست کننده  ,Employee3188,خارجی,4/1/2019 14:39,4/1/2019 16:37,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,خارجی,4/1/2019 16:37,4/3/2019 8:26,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,خارجی,4/3/2019 8:26,4/3/2019 12:27,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,تأیید مدیر ارشد بازرگانی  ,Employee2528,خارجی,4/3/2019 12:27,4/3/2019 13:30,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,توزیع سفارش خارجی,Employee3044,خارجی,4/3/2019 13:30,4/3/2019 17:41,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,اقدام کارشناس بازرگانی خارجی  ,Employee5320,خارجی,4/3/2019 17:41,11/26/2019 12:01,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,اقدام کارشناس بازرگانی خارجی  ,Employee5320,خارجی,4/3/2019 17:41,4/6/2019 0:00,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,اقدام کارشناس بازرگانی خارجی  ,Employee5320,خارجی,4/3/2019 17:41,4/27/2019 0:00,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,اقدام کارشناس بازرگانی خارجی  ,Employee5320,خارجی,4/3/2019 17:41,5/9/2019 0:00,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,اقدام کارشناس بازرگانی خارجی  ,Employee5320,خارجی,4/3/2019 17:41,5/11/2019 0:00,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,اقدام کارشناس بازرگانی خارجی  ,Employee5320,خارجی,4/3/2019 17:41,6/29/2019 0:00,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,اقدام کارشناس بازرگانی خارجی  ,Employee5320,خارجی,4/3/2019 17:41,6/29/2019 0:00,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000004,توزیع سفارش به پشتیبانی جهت ترخیص کالا,Employee3916,خارجی,11/26/2019 12:01,12/28/2020 5:37,Department-20200222,Part-2010015960,Project-100200046,1,2
OR-E000006,ارسال درخواست,Employee2556,داخلی,3/30/2019 16:53,3/30/2019 17:39,Department-20200138,Part-11584,Project-100400016,0,16
